ID,chat_id,message_index,raw_message_id,role,requirement,algoritma_metode,dataset,metrik,prioritas,status,test_method
TR-01,C1,1,1,user,PRD .md sesuai roadmap gambar,Staged Prompting (permintaan),Roadmap gambar pengguna,File PRD ada,Tinggi,confirmed,baca extracted/C1.json msg1
TR-02,C1,2,2,assistant,PRD Makalah Ceritas + objektif drv roadmap,Sinteisis asisten -> PRD,Roadmap + pengetahuan umum,PRD mencakup RISE,Tinggi,confirmed,baca extracted/C1.json msg2 (kepala)
TR-03,C1,3,3,user,Task breakdown ke OpenCode via .md,Dekomposisi modular + label,PRD C1,TASK_BREAKDOWN.md ada,Tinggi,confirmed,baca extracted/C1.json msg3
TR-04,C1,4,4,assistant,TASK_BREAKDOWN.md modular diserahkan,Checklist + good-first-issue,PRD C1,File tersimpan di root,Tinggi,confirmed,baca extracted/C1.json msg4 (kepala)
TR-05,C1,5,5,user,Tahapan LLM-only agar terkontrol,Staged Prompting + Human-in-the-Loop,TIDAK_TERSEDIA,7 tahapan terdokumentasi,Tinggi,confirmed,baca extracted/C1.json msg5
TR-06,C1,6,6,assistant,7 Tahapan Sistematik + Tahap 0 stack,Staged Prompting,Contoh Next.js,Dokumen tahapan,Tinggi,confirmed,baca extracted/C1.json msg6 (kepala)
TR-07,C1,7,7,user,"Makalah + presentasi Elsevier dulu, aplikasi tunda",Keputusan skope,TIDAK_TERSEDIA,Keputusan tercatat,Tinggi,confirmed,baca extracted/C1.json msg7
TR-08,C1,9,9,user,Skrip PowerShell inspeksi direktori Elsevier,Inspeksi direktori via skrip,D:\Research & Paper\elsevier,Output inspeksi ditempel,Tinggi,confirmed,baca extracted/C1.json msg9
TR-09,C1,19,19,user,Contoh paper template Elsevier (METs),Referensi format,Contoh paper METs (gambar),File .tex isi dibuat,Tinggi,confirmed,baca extracted/C1.json msg19
TR-10,C1,20,20,assistant,File makalah METs + references.bib,Penulisan + BibTeX,Konten METs,Siap compile,Tinggi,confirmed,baca extracted/C1.json msg20 (kepala)
TR-11,C1,24,24,assistant,Kompilasi Elsevier 17 hlm sukses,pdflatex+bibtex,ecrc/elsarticle,"17 hlm, elemen lengkap",Tinggi,confirmed,kompilasi ulang pdflatex; cek visual PDF
TR-12,C1,25,25,user,Presentasi makalah dibuatkan,Beamer tema Madrid (ID),Isi makalah METs,File presentasi.tex,Tinggi,confirmed,baca extracted/C1.json msg25
TR-13,C1,26,26,assistant,File presentasi Beamer diserahkan,Beamer,Isi makalah,Compile 2x pdflatex,Tinggi,confirmed,baca extracted/C1.json msg26 (kepala); kompilasi ulang
TR-14,C1,29,29,user,Workflow praktis multi-AI (consensus/leapspace/perplexity/gemini/deepseek),Orkestrasi multi-AI,TIDAK_TERSEDIA,Workflow 4 fase,Tinggi,confirmed,baca extracted/C1.json msg29
TR-15,C1,30,30,assistant,Skip aplikasi web (Next.js/Prisma),Keputusan skope,TIDAK_TERSEDIA,Keputusan tercatat,Tinggi,confirmed,baca extracted/C1.json msg30 (kepala)
TR-16,C1,31,31,user,Penulisan pakai Claude,Penulisan LLM,Bahan riset,Keputusan tercatat,Tinggi,confirmed,baca extracted/C1.json msg31
TR-17,C1,33,33,user,Topik Pancasila 3 dimensi + komparasi,Framing riset,TIDAK_TERSEDIA,3 sub-topik,Tinggi,confirmed,baca extracted/C1.json msg33
TR-18,C1,39,41,user,Batas LeapSpace 500 karakter,Batasan tool,UI LeapSpace,Prompt <=500 char,Sedang,confirmed,baca extracted/C1.json msg39
TR-19,C1,47,49,user,"Alokasi Deep Research p1&p4, Copilot p2&p3",Alokasi kuota riset,4 prompt,Keputusan tercatat,Sedang,confirmed,baca extracted/C1.json msg47
TR-20,C1,49,55,user,Empat prompt LeapSpace final,Prompt engineering <=500 char,Topik Pancasila,4 prompt siap pakai,Tinggi,confirmed,baca extracted/C1.json msg49
TR-21,C1,53,59,user,Langkah Consensus,Consensus evidensial,200 jt+ paper,Pertanyaan terjawab,Sedang,confirmed,baca extracted/C1.json msg53
TR-22,C1,59,65,user,Elicit mode agen penelitian,Elicit agent,Korpus Elicit,Hasil tabel,Sedang,confirmed,baca extracted/C1.json msg59
TR-23,C1,63,69,user,Lanjut ke Semantic Scholar,Crawling Scholar,Korpus S2,Temuan tambahan,Sedang,confirmed,baca extracted/C1.json msg63
TR-24,C1,65,71,user,Lanjut ke Connected Papers,Citation graph,Seed paper,Grafik visual,Sedang,confirmed,baca extracted/C1.json msg65
